Name,size,SSSS,SSSC,SSSN,SSSO,SSSX,SSSM,SSCC,SSCN,SSCO,SSCX,SSCM,SSNN,SSNO,SSNX,SSNM,SSOO,SSOX,SSOM,SSXX,SSXM,SSMM,SCCC,SCCN,SCCO,SCCX,SCCM,SCNN,SCNO,SCNX,SCNM,SCOO,SCOX,SCOM,SCXX,SCXM,SCMM,SNNN,SNNO,SNNX,SNNM,SNOO,SNOX,SNOM,SNXX,SNXM,SNMM,SOOO,SOOX,SOOM,SOXX,SOXM,SOMM,SXXX,SXXM,SXMM,SMMM,CCCC,CCCN,CCCO,CCCX,CCCM,CCNN,CCNO,CCNX,CCNM,CCOO,CCOX,CCOM,CCXX,CCXM,CCMM,CNNN,CNNO,CNNX,CNNM,CNOO,CNOX,CNOM,CNXX,CNXM,CNMM,COOO,COOX,COOM,COXX,COXM,COMM,CXXX,CXXM,CXMM,CMMM,NNNN,NNNO,NNNX,NNNM,NNOO,NNOX,NNOM,NNXX,NNXM,NNMM,NOOO,NOOX,NOOM,NOXX,NOXM,NOMM,NXXX,NXXM,NXMM,NMMM,OOOO,OOOX,OOOM,OOXX,OOXM,OOMM,OXXX,OXXM,OXMM,OMMM,XXXX,XXXM,XXMM,XMMM,MMMM
AgNP1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858.825,796.089,4001.84,0,275.523,37.677,1159.952,0,544.499,1753.868,0,662.197,0,0,340.05,0,41.038,0,34.426,345.799,0,730.093,0,0,494.966,235.775,0,552.304,0,0,885.299,0,0,0,418.244,0,0,0,0,3.758,0,39.846,0,0,18.29,17.502,0,273.492,0,0,564.246,0,0,0,597.825,4.403,0,53.778,0,0,414.556,0,0,0,1331.684,0,0,0,0,4000.308
AgNP2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260.062,2341.074,3865.609,0,1040.538,250.092,3034.08,0,1006.927,1311.165,0,903.397,0,0,1219.835,2.101,262.647,0,66.74,1221.854,0,738.424,0,0,701.261,401.669,0,205.502,0,0,703.636,0,0,0,1305.157,0,0.879,0,0.332,69.984,0,21.411,0,0,10.437,282.427,0,53.799,0,0,350.315,0,0,0,393.1,35.226,0,15.068,0,0,73.462,0,0,0,624.345,0,0,0,0,3874.956
AgNP3,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.566,0,1209.654,0,67.827,0,0,0,0,2230.367,0,548.088,0,0,101.337,0,0,0,0,0,0,0,0,0,0,1819.504,0,880.249,0,0,590.836,0,0,0,150.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.415,0,366.152,0,0,702.682,0,0,0,1109.306,0,0,0,0,1785.567
AgNP4,10.2,0,0.617,0,0,0,1.16,16.621,0,6.133,0,44.922,0,0,0,0,0.12,0,4.001,0,0,55.473,46.853,0,114.315,0,213.341,0,0,0,0,30.505,0,114.555,0,0,441.125,0,0,0,0,0,0,0,0,0,0,0.645,0,9.34,0,0,53.944,0,0,0,704.347,11.322,0,183.205,0,41.961,0,0,0,0,401.702,0,377.657,0,0,184.309,0,0,0,0,0,0,0,0,0,0,246.07,0,172.56,0,0,285.938,0,0,0,369.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.28,0,23.153,0,0,40.275,0,0,0,138.36,0,0,0,0,1800.85
AgNP5,10.2,0,1.029,0,0,0,1.644,23.393,0,0.892,0,53.406,0,0,0,0,0,0,0.421,0,0,60.344,148.44,0,37.808,0,300.883,0,0,0,0,1.081,0,17.325,0,0,475.55,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0,0,6.224,0,0,0,722.922,446.741,0,856.651,0,403.88,0,0,0,0,577.096,0,128.571,0,0,414.784,0,0,0,0,0,0,0,0,0,0,235.389,0,20.789,0,0,45.507,0,0,0,467.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.611,0,0.123,0,0,1.074,0,0,0,10.061,0,0,0,0,1805.791
AgNP6,9.9,0,0.823,0,0,0,1.547,21.136,0,18.732,0,48.971,0,0,0,0,9.993,0,3.054,0,0,61.877,67.825,0,333.812,0,235.155,0,0,0,0,412.07,0,111.825,0,0,443.102,0,0,0,0,0,0,0,0,0,0,180.861,0,24.83,0,0,45.744,0,0,0,707.861,57.12,0,205.939,0,138.24,0,0,0,0,331.616,0,236.102,0,0,239.418,0,0,0,0,0,0,0,0,0,0,382.234,0,188.918,0,0,226.643,0,0,0,388.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.349,0,35.525,0,0,47.256,0,0,0,118.423,0,0,0,0,1799.075
AgNP7,40,0,0,0,0,0,0.097,15.8,0,0,0,56.394,0,0,0,0,0,0,0,0,0,76.4,181.996,0,0,0,1269.316,0,0,0,0,0,0,0,0,0,3187.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5159.951,4112.092,682.16,0,0,3420.759,168.481,0,0,0,0,0,0,0,0,4570.794,7.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6028.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30352.02
AgNP8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931.819,0,4378.251,0,1702.387,0,0,0,0,5246.652,0,5987.039,0,0,1830.965,0,0,0,0,0,0,0,0,0,0,4011.087,0,6175.191,0,0,7566.856,0,0,0,2771.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366.873,0,3144.82,0,0,7832.526,0,0,0,14649.125,0,0,0,0,24890.285
AgNP9,40,0,0,0,0,0,0,2.052,0,0,0,8.483,0,0,0,0,0,0,0,0,0,14.612,115.703,0,0,0,684.297,0,0,0,0,0,0,0,0,0,1663.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624.084,13066.237,1980.478,7496.439,0,4148.637,0,7.759,0,0,5237.307,0,0,0,0,6233.544,0,0,0,0,0.249,0,0,0,0,0,29.344,0,0,0,0,0,0,0,0,8289.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,30667.523
AgNP10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7036.516,149.769,0,0,4001.853,9.727,0,0,1359.753,0,0,0,0,0,5410.937,0.117,0,0,44.563,0,0,0,0,0,3608.826,0,0,0,0,0,0,0,0,0,6508.235,0,0,0,0.332,0,0,0,0,0,74.848,0,0,0,0,0,0,0,0,0,5417.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29990.947
AgNP11,40,0.413,28.503,0,0,0,41.001,929.033,0,5.24,0,1123.698,0,0,0,0,0,0,2.632,0,0,1983.031,1122.816,0,59.604,0,2784.402,0,0,0,0,1.681,0,39.06,0,0,4384.677,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,11.066,0,0,0,6861.165,2014.371,0,1528.599,0,3917.236,0,0,0,0,953.305,0,791.591,0,0,5496.558,0,0,0,0,0,0,0,0,0,0,426.382,0,117.009,0,0,535.568,0,0,0,6822.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.347,0,2.082,0,0,11.599,0,0,0,199.189,0,0,0,0,27597.824
AgNP12,40,0,0.103,0,0.112,0,0.387,2.462,0,18.063,0,29.98,0,0,0,0,1.565,0,22.429,0,0,77.933,3.069,0,855.543,0,425.901,0,0,0,0,263.015,0,1523.13,0,0,2097.967,0,0,0,0,0,0,0,0,0,0,14.19,0,178.48,0,0,1355.083,0,0,0,5077.625,0.102,0,12.532,0,2.587,0,0,0,0,313.046,0,1022.218,0,0,331.985,0,0,0,0,0,0,0,0,0,0,263.701,0,1165.483,0,0,2490.167,0,0,0,2367.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.934,0,164.027,0,0,982.516,0,0,0,4848.33,0,0,0,0,29933.752
AgNP13,40,0,0,0,0,0,0.193,24.111,0,0.111,0,52.827,0,0,0,0,0,0,0.105,0,0,84.608,243.584,0,67.388,0,1978.391,0,0,0,0,5.405,0,68.775,0,0,3311.517,0,0,0,0,0,0,0,0,0,0,0,0,0.683,0,0,20.946,0,0,0,5129.801,1771.128,0,1481.34,0,4323.051,0,0,0,0,1057.861,0,2086.471,0,0,6002.51,0,0,0,0,0,0,0,0,0,0,498.074,0,473.811,0,0,1297.291,0,0,0,6123.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,26.583,0,0,64.226,0,0,0,454.689,0,0,0,0,29694.277
AgNP14,40,0,0,0,0,0,0,14.569,0,10.147,0,49.164,0,0,0,0,4.575,0,2.001,0,0,77.302,31.201,0,1240.976,0,1088.852,0,0,0,0,1708.531,0,1093.26,0,0,3100.017,0,0,0,0,0,0,0,0,0,0,791.237,0,581.252,0,0,308.662,0,0,0,5331.387,0,0,44.36,0,13.412,0,0,0,0,230.141,0,1101.885,0,0,702.43,0,0,0,0,0,0,0,0,0,0,520.856,0,1384.151,0,0,3047.225,0,0,0,3504.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.851,0,455.087,0,0,1376.169,0,0,0,3901.196,0,0,0,0,29462.939
AgNP15,40,0,0,0,0,0,0,14.569,0,0,0,55.141,0,0,0,0,0,0,0,0,0,82.082,179.745,0,0,0,1285.363,0,0,0,0,0,0,0,0,0,3160.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5266.815,6131.764,0,3261.443,0,3450.5,0,0,0,0,1600.468,0,0,0,0,4566.937,0,0,0,0,0,0,0,0,0,0,371.68,0,0,0,0,0,0,0,0,5974.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.659,0,0,0,0,0,0,0,0,0,0,0,0,0,30346.904
AgNP16,40,0,0,0,0,0,0.29,16.211,0,0,0,55.816,0,0,0,0,0,0,0,0,0,79.196,192.022,0,0,0,1283.634,0,0,0,0,0,0,0,0,0,3154.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238.006,7973.766,3931.267,0,0,3422.966,1.565,0,0,0,0,0,0,0,0,4582.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6014.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30316.137
AgNP17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7123.007,0,3217.845,0,4611.056,0,0,0,0,1540.067,0,0,0,0,7462.897,0,0,0,0,0,0,0,0,0,0,366.016,0,0,0,0,0,0,0,0,10303.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.384,0,0,0,0,0,0,0,0,0,0,0,0,0,31125.703
GNP1,6.2,1.238,75.632,0,0,0,23.644,346.066,0,0.446,0,163.283,0,0,0,0,0,0,0,0,0,96.667,739.729,4.502,18.459,0,237.619,0,0.464,0,0.321,0,0,0,0,0,295.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.576,672.252,315.136,696.236,0,71.024,54.67,639.283,0,0.107,569.309,0,0.443,0,0,126.944,0.467,20.036,0,0,63.971,0,0,0,0,0.107,65.637,0,0,0,0,0,0,0,0,305.81,0,0,0,0,0,0,0,0,0,0,0.134,0,0,0,0,0,0,0,0,0,1.789,0,0,0,0,0,0,0,0,0,0,0,0,0,848.4
GNP2,6.2,0.826,60.608,0,0,0,38.961,308.615,0,0,0,201.925,0,0,0,0,0,0,0,0,0,163.024,545.382,0,6.672,0,172.308,0,0,0,0,0,0,0.333,0,0,284.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,871.927,207.173,643.323,0,39.843,57.465,616.359,0,0,256.499,0,0.332,0,0,52.529,0,26.554,0,0,56.115,0,0,0,0,0,14.929,0,0,0,0,0,0,0,0,98.954,0,0,0,0,0.13,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.806
